fips,cfs_area,cfs_name
01001,0199999,Remainder of Alabama
01003,01380,"Mobile-Daphne-Fairhope, AL CFS Area"
01005,0199999,Remainder of Alabama
01007,01142,"Birmingham-Hoover-Cullman, AL CFS Area"
01009,01142,"Birmingham-Hoover-Cullman, AL CFS Area"
01011,0199999,Remainder of Alabama
01013,0199999,Remainder of Alabama
01015,0199999,Remainder of Alabama
01017,0199999,Remainder of Alabama
01019,0199999,Remainder of Alabama
01021,01142,"Birmingham-Hoover-Cullman, AL CFS Area"
01023,0199999,Remainder of Alabama
01025,0199999,Remainder of Alabama
01027,0199999,Remainder of Alabama
01029,0199999,Remainder of Alabama
01031,0199999,Remainder of Alabama
01033,0199999,Remainder of Alabama
01035,0199999,Remainder of Alabama
01037,0199999,Remainder of Alabama
01039,0199999,Remainder of Alabama
01041,0199999,Remainder of Alabama
01043,01142,"Birmingham-Hoover-Cullman, AL CFS Area"
01045,0199999,Remainder of Alabama
01047,0199999,Remainder of Alabama
01049,0199999,Remainder of Alabama
01051,0199999,Remainder of Alabama
01053,0199999,Remainder of Alabama
01055,0199999,Remainder of Alabama
01057,0199999,Remainder of Alabama
01059,0199999,Remainder of Alabama
01061,0199999,Remainder of Alabama
01063,0199999,Remainder of Alabama
01065,0199999,Remainder of Alabama
01067,0199999,Remainder of Alabama
01069,0199999,Remainder of Alabama
01071,0199999,Remainder of Alabama
01073,01142,"Birmingham-Hoover-Cullman, AL CFS Area"
01075,0199999,Remainder of Alabama
01077,0199999,Remainder of Alabama
01079,0199999,Remainder of Alabama
01081,0199999,Remainder of Alabama
01083,0199999,Remainder of Alabama
01085,0199999,Remainder of Alabama
01087,0199999,Remainder of Alabama
01089,0199999,Remainder of Alabama
01091,0199999,Remainder of Alabama
01093,0199999,Remainder of Alabama
01095,0199999,Remainder of Alabama
01097,01380,"Mobile-Daphne-Fairhope, AL CFS Area"
01099,0199999,Remainder of Alabama
01101,0199999,Remainder of Alabama
01103,0199999,Remainder of Alabama
01105,0199999,Remainder of Alabama
01107,0199999,Remainder of Alabama
01109,0199999,Remainder of Alabama
01111,0199999,Remainder of Alabama
01113,0199999,Remainder of Alabama
01115,01142,"Birmingham-Hoover-Cullman, AL CFS Area"
01117,01142,"Birmingham-Hoover-Cullman, AL CFS Area"
01119,0199999,Remainder of Alabama
01121,0199999,Remainder of Alabama
01123,0199999,Remainder of Alabama
01125,0199999,Remainder of Alabama
01127,01142,"Birmingham-Hoover-Cullman, AL CFS Area"
01129,0199999,Remainder of Alabama
01131,0199999,Remainder of Alabama
01133,0199999,Remainder of Alabama
04001,0499999,Remainder of Arizona
04003,0499999,Remainder of Arizona
04005,0499999,Remainder of Arizona
04007,0499999,Remainder of Arizona
04009,0499999,Remainder of Arizona
04011,0499999,Remainder of Arizona
04012,0499999,Remainder of Arizona
04013,0438060,"Phoenix-Mesa-Scottsdale, AZ CFS Area"
