orig_lon,orig_lat,dest_lon,dest_lat,dist,orig_code,dest_code
1777138.6457102753,2425123.404673397,1777138.6457102753,2425123.404673397,0.0,36104,36104
1777138.6457102753,2425123.404673397,1060239.8335588726,1243282.5882412936,9732.37,36104,13122
1777138.6457102753,2425123.404673397,-158939.94523210713,799858.582410359,9339.1,36104,4812420
1777138.6457102753,2425123.404673397,1647307.3946917863,1981555.2462317643,6208.53,36104,2412580
1777138.6457102753,2425123.404673397,466694.8347207637,838747.644172342,9011.91,36104,22132
1777138.6457102753,2425123.404673397,172555.44555296918,782214.3102372125,8013.93,36104,4813140
1777138.6457102753,2425123.404673397,845269.9897471223,1205019.1421642012,5696.51,36104,01142
1777138.6457102753,2425123.404673397,1995825.7179868715,2400810.960544691,3269.02,36104,25148
1777138.6457102753,2425123.404673397,1402186.2533183906,2306950.2175967125,3741.97,36104,36160
1777138.6457102753,2425123.404673397,1474153.8320687078,1231913.3054027453,3459.13,36104,4516700
1777138.6457102753,2425123.404673397,1369976.170769671,1475085.9572819984,241.46,36104,37172
1777138.6457102753,2425123.404673397,644880.157747396,2109569.585022761,8651.12,36104,17176
1777138.6457102753,2425123.404673397,737124.6965017054,2066199.4590714187,1725.93,36104,18176
1777138.6457102753,2425123.404673397,1008020.952547196,1863916.4173468514,10959.77,36104,39178
1777138.6457102753,2425123.404673397,1205386.9626603033,2134519.5142519614,5315.81,36104,39184
1777138.6457102753,2425123.404673397,1100501.9101324484,1962129.117621246,7665.39,36104,39198
1777138.6457102753,2425123.404673397,-160682.09856194386,490249.61709464533,7993.45,36104,48204
1777138.6457102753,2425123.404673397,-87611.66998281254,1096917.2083656464,8932.96,36104,48206
1777138.6457102753,2425123.404673397,996571.4483290385,1940943.4691799458,6101.64,36104,39212
1777138.6457102753,2425123.404673397,-743041.5705250199,1900374.1686288114,5695.14,36104,08216
1777138.6457102753,2425123.404673397,1025352.345968852,2248398.176121096,7611.32,36104,26220
1777138.6457102753,2425123.404673397,-963398.9553017792,1017932.7157760629,9844.74,36104,4821340
1777138.6457102753,2425123.404673397,834638.8151434386,2268659.9410516866,9273.88,36104,26266
1777138.6457102753,2425123.404673397,1414173.4398326948,1567503.4191080974,5341.98,36104,37268
1777138.6457102753,2425123.404673397,1240342.419590964,1389728.5018773526,3122.13,36104,45273
1777138.6457102753,2425123.404673397,1925897.384577346,2323953.716795676,5035.95,36104,09278
