cz_area,fips
060,01001
254,01003
020,01005
021,01007
021,01009
020,01011
060,01013
303,01015
409,01017
558,01019
021,01021
312,01023
312,01025
190,01027
303,01029
188,01031
140,01033
380,01035
190,01037
060,01039
060,01041
120,01043
188,01045
458,01047
558,01049
060,01051
380,01053
558,01055
462,01057
140,01059
188,01061
216,01063
216,01065
188,01067
188,01069
106,01071
021,01073
462,01075
140,01077
120,01079
022,01081
120,01083
060,01085
022,01087
120,01089
312,01091
462,01093
558,01095
254,01097
380,01099
060,01101
120,01103
458,01105
216,01107
060,01109
409,01111
022,01113
021,01115
021,01117
312,01119
190,01121
190,01123
216,01125
462,01127
254,01129
312,01131
462,01133
552,04001
476,04003
438,04005
158,04007
207,04009
207,04011
323,04012
158,04013
297,04015
552,04017
476,04019
158,04021
476,04023
438,04025
658,04027
553,05001
602,05003
321,05005
240,05007
185,05009
225,05011
092,05013
185,05015
602,05017
411,05019
259,05021
568,05023
225,05025
422,05027
071,05029
259,05031
049,05033
001,05035
413,05037
092,05039
225,05041
225,05043
071,05045
049,05047
430,05049
411,05051
071,05053
259,05055
265,05057
411,05059
265,05061
430,05063
430,05065
568,05067
225,05069
200,05071
422,05073
259,05075
413,05077
225,05079
029,05081
049,05083
071,05085
240,05087
321,05089
029,05091
520,05093
553,05095
411,05097
265,05099
185,05101
092,05103
071,05105
413,05107
265,05109
259,05111
411,05113
200,05115
553,05117
071,05119
259,05121
413,05123
071,05125
049,05127
628,05129
049,05131
029,05133
430,05135
628,05137
092,05139
628,05141
240,05143
568,05145
568,05147
200,05149
294,06001
211,06003
211,06005
348,06007
211,06009
348,06011
294,06013
615,06015
211,06017
187,06019
348,06021
612,06023
658,06025
575,06027
903,06029
187,06031
641,06033
635,06035
323,06037
187,06039
294,06041
187,06043
641,06045
484,06047
637,06049
575,06051
218,06053
294,06055
093,06057
323,06059
093,06061
635,06063
323,06065
093,06067
218,06069
323,06071
902,06073
294,06075
211,06077
584,06079
294,06081
584,06083
218,06085
218,06087
348,06089
093,06091
637,06093
294,06095
294,06097
484,06099
093,06101
348,06103
612,06105
187,06107
484,06109
323,06111
093,06113
093,06115
005,08031
264,08003
005,08005
423,08007
500,08009
500,08011
697,08015
626,08017
005,08019
264,08021
264,08023
159,08025
159,08027
381,08029
363,08033
005,08035
183,08037
005,08039
153,08041
159,08043
183,08045
005,08047
691,08049
633,08051
633,08053
613,08055
663,08057
500,08061
626,08063
183,08065
423,08067
005,08069
613,08071
153,08073
571,08075
677,08077
264,08079
414,08081
363,08083
381,08085
579,08087
159,08089
381,08091
005,08093
571,08095
183,08097
500,08099
159,08101
414,08103
264,08105
414,08107
264,08109
423,08111
381,08113
571,08115
183,08117
153,08119
579,08121
579,08125
078,09001
078,09003
078,09005
078,09007
078,09009
078,09011
078,09013
078,09015
180,10001
196,10003
180,10005
074,11001
205,12001
064,12003
306,12005
064,12007
601,12009
410,12011
062,12013
334,12015
205,12017
064,12019
307,12021
374,12023
334,12027
205,12029
064,12031
143,12033
277,12035
678,12037
062,12039
205,12041
307,12043
306,12045
374,12047
522,12049
307,12051
325,12053
522,12055
325,12057
306,12059
601,12061
306,12063
062,12065
374,12067
075,12069
307,12071
062,12073
205,12075
062,12077
374,12079
334,12081
205,12083
237,12085
410,12086
410,12087
064,12089
143,12091
237,12093
075,12095
075,12097
237,12099
325,12101
325,12103
522,12105
064,12107
064,12109
237,12111
143,12113
334,12115
075,12117
075,12119
374,12121
670,12123
064,12125
277,12127
062,12129
143,12131
306,12133
119,13001
137,13003
137,13005
008,13007
194,13009
310,13011
141,13013
090,13015
197,13017
019,13019
067,13021
252,13023
165,13025
019,13027
061,13029
424,13031
030,13033
141,13035
008,13037
064,13039
424,13043
303,13045
106,13047
064,13049
061,13051
022,13053
090,13055
141,13057
041,13059
008,13061
141,13063
137,13065
141,13067
137,13069
382,13071
030,13073
019,13075
409,13077
067,13079
341,13081
106,13083
310,13085
347,13087
141,13089
252,13091
341,13093
008,13095
141,13097
008,13099
019,13101
061,13103
371,13105
424,13107
061,13109
562,13111
141,13113
090,13115
310,13117
371,13119
141,13121
562,13123
030,13125
165,13127
090,13129
382,13131
278,13133
141,13135
310,13137
310,13139
194,13141
303,13143
022,13145
371,13147
409,13149
141,13151
067,13153
197,13155
310,13157
141,13159
119,13161
030,13163
424,13165
252,13167
067,13169
247,13171
019,13173
252,13175
008,13177
061,13179
278,13181
061,13183
019,13185
310,13187
030,13189
165,13191
079,13193
041,13195
079,13197
022,13199
347,13201
008,13205
067,13207
119,13209
278,13211
090,13213
022,13215
141,13217
041,13219
041,13221
141,13223
067,13225
141,13227
137,13229
247,13231
090,13233
252,13235
194,13237
020,13239
123,13241
008,13243
030,13245
141,13247
079,13249
424,13251
347,13253
247,13255
371,13257
079,13259
079,13261
022,13263
278,13265
061,13267
067,13269
119,13271
008,13273
382,13275
197,13277
119,13279
357,13281
119,13283
409,13285
197,13287
067,13289
357,13291
247,13293
106,13295
141,13297
137,13299
030,13301
252,13303
061,13305
079,13307
119,13309
310,13311
090,13313
341,13315
278,13317
194,13319
008,13321
052,16001
460,16003
088,16005
529,16007
501,16009
088,16011
124,16013
052,16015
498,16017
088,16019
498,16021
088,16023
124,16025
052,16027
529,16029
132,16031
088,16033
046,16035
654,16037
052,16039
227,16041
201,16043
052,16045
124,16047
046,16049
088,16051
124,16053
501,16055
